pathway,n_genes_available,spearman_rho,p_value,fdr,direction
HALLMARK_APICAL_JUNCTION,200,0.9510489510489512,2.0384246324655757e-06,5.096061581163939e-05,positive
HALLMARK_FATTY_ACID_METABOLISM,158,0.9510489510489512,2.0384246324655757e-06,5.096061581163939e-05,positive
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,0.9370629370629372,6.99316495321054e-06,5.827637461008783e-05,positive
HALLMARK_ESTROGEN_RESPONSE_EARLY,200,0.9370629370629372,6.99316495321054e-06,5.827637461008783e-05,positive
HALLMARK_ESTROGEN_RESPONSE_LATE,200,0.9370629370629372,6.99316495321054e-06,5.827637461008783e-05,positive
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,0.9370629370629372,6.99316495321054e-06,5.827637461008783e-05,positive
HALLMARK_MTORC1_SIGNALING,200,0.9300699300699302,1.170222792865967e-05,7.313892455412293e-05,positive
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,0.9300699300699302,1.170222792865967e-05,7.313892455412293e-05,positive
HALLMARK_ADIPOGENESIS,200,0.9230769230769231,1.8621951098680987e-05,8.464523226673175e-05,positive
HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,0.9230769230769231,1.8621951098680987e-05,8.464523226673175e-05,positive
HALLMARK_PEROXISOME,103,0.9230769230769231,1.8621951098680987e-05,8.464523226673175e-05,positive
HALLMARK_MYOGENESIS,200,0.9160839160839163,2.8428045348547155e-05,0.00011845018895227981,positive
HALLMARK_ANGIOGENESIS,36,0.9090909090909092,4.1910446530342335e-05,0.00013970148843447445,positive
HALLMARK_GLYCOLYSIS,200,0.9090909090909092,4.1910446530342335e-05,0.00013970148843447445,positive
HALLMARK_MYC_TARGETS_V2,58,0.9090909090909092,4.1910446530342335e-05,0.00013970148843447445,positive
HALLMARK_MYC_TARGETS_V1,200,0.8881118881118882,0.00011413359814618011,0.00035666749420681286,positive
HALLMARK_PANCREAS_BETA_CELLS,40,0.8811188811188813,0.00015267406467669873,0.0004490413666961727,positive
HALLMARK_ANDROGEN_RESPONSE,100,0.8741258741258742,0.0002007130733242317,0.0005575363147895325,positive
HALLMARK_SPERMATOGENESIS,134,0.8601398601398602,0.0003316683391269209,0.0007896865217307641,positive
HALLMARK_UV_RESPONSE_UP,157,0.8601398601398602,0.0003316683391269209,0.0007896865217307641,positive
HALLMARK_XENOBIOTIC_METABOLISM,200,0.8601398601398602,0.0003316683391269209,0.0007896865217307641,positive
HALLMARK_COAGULATION,138,0.8461538461538463,0.0005211337004810046,0.0011328993488717491,positive
HALLMARK_KRAS_SIGNALING_UP,200,0.8461538461538463,0.0005211337004810046,0.0011328993488717491,positive
HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,0.8321678321678322,0.0007854416778536138,0.0016363368288616956,positive
HALLMARK_BILE_ACID_METABOLISM,112,0.8181818181818183,0.0011431050868040604,0.0021982790130847317,positive
HALLMARK_DNA_REPAIR,150,0.8181818181818183,0.0011431050868040604,0.0021982790130847317,positive
HALLMARK_PROTEIN_SECRETION,96,0.7762237762237763,0.0029928636801859797,0.005542340148492555,positive
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,0.7622377622377624,0.003950448972542649,0.00705437316525473,positive
HALLMARK_E2F_TARGETS,200,0.7552447552447553,0.004508435484294224,0.007773164628093491,positive
HALLMARK_HYPOXIA,200,0.7342657342657343,0.006543490146837885,0.010905816911396474,positive
HALLMARK_HEME_METABOLISM,200,0.7272727272727274,0.007355028857805126,0.01186294977065343,positive
HALLMARK_G2M_CHECKPOINT,200,0.6923076923076924,0.0125930304960941,0.01967661015014703,positive
HALLMARK_P53_PATHWAY,200,0.6013986013986015,0.038588452922019435,0.058467352912150654,positive
HALLMARK_TGF_BETA_SIGNALING,54,0.5944055944055945,0.04152149441031855,0.06106102119164492,positive
HALLMARK_APICAL_SURFACE,44,0.5664335664335665,0.05484211977540786,0.0783458853934398,positive
HALLMARK_IL2_STAT5_SIGNALING,199,0.5524475524475525,0.0625114832796151,0.08225195168370408,positive
HALLMARK_MITOTIC_SPINDLE,199,0.5524475524475525,0.0625114832796151,0.08225195168370408,positive
HALLMARK_UV_RESPONSE_DN,144,0.5524475524475525,0.0625114832796151,0.08225195168370408,positive
HALLMARK_COMPLEMENT,200,0.4055944055944056,0.19083587400450033,0.24466137692884657,positive
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,-0.3846153846153847,0.21702022575997754,0.2712752821999719,negative
HALLMARK_HEDGEHOG_SIGNALING,36,0.3426573426573427,0.2755674509567803,0.3360578670204638,positive
HALLMARK_NOTCH_SIGNALING,32,0.3356643356643357,0.28612290291498754,0.34062250347022327,positive
HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,0.2657342657342658,0.40383308831471165,0.46957335850547866,positive
HALLMARK_APOPTOSIS,160,0.2377622377622378,0.4568008526399232,0.5190918779999127,positive
HALLMARK_ALLOGRAFT_REJECTION,200,0.22377622377622378,0.48445166145539886,0.5265778928863031,positive
HALLMARK_INTERFERON_GAMMA_RESPONSE,198,-0.22377622377622378,0.48445166145539886,0.5265778928863031,negative
HALLMARK_KRAS_SIGNALING_DN,200,0.18881118881118883,0.5567370561768314,0.5922734640179058,positive
HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,0.10489510489510491,0.7456094809807079,0.7766765426882374,positive
HALLMARK_INFLAMMATORY_RESPONSE,200,0.055944055944055944,0.8628980736949712,0.8805082384642563,positive
HALLMARK_IL6_JAK_STAT3_SIGNALING,87,-0.02097902097902098,0.9484022252365223,0.9484022252365223,negative
