pathway,n_genes_available_task36,spearman_rho_task36,p_value_task36,fdr_task36,direction_task36,n_genes_available_gse111672,spearman_rho_gse111672,p_value_gse111672,fdr_gse111672,direction_gse111672,same_direction,abs_rho_diff
HALLMARK_INFLAMMATORY_RESPONSE,195,-0.16776795548505619,1.2292977495238248e-16,1.024414791269854e-15,negative,200,-0.16258732265399137,0.02920769820351069,0.07216538054924722,negative,True,0.005180632831064819
HALLMARK_APICAL_SURFACE,42,-0.04231353750239371,0.038032126851772076,0.061342140083503346,negative,44,-0.029654222689090362,0.6927186570987369,0.7686702865234911,negative,True,0.012659314813303346
HALLMARK_SPERMATOGENESIS,109,0.12400483911543908,1.057844413162941e-09,4.407685054845587e-09,positive,133,0.10781683831719484,0.14968638906483747,0.23388498291380855,positive,True,0.016188000798244243
HALLMARK_BILE_ACID_METABOLISM,108,-0.047572030432244054,0.019669524153123924,0.036653538139360425,negative,112,-0.02082166243044306,0.7814454750371416,0.8313249734437677,negative,True,0.026750368001800993
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,195,-0.11091210736784027,4.978194353402211e-08,1.7779265547865038e-07,negative,198,-0.08410959185983106,0.261617015422289,0.3847309050327779,negative,True,0.026802515508009203
HALLMARK_TNFA_SIGNALING_VIA_NFKB,197,-0.1397501465328495,5.890718257913812e-12,3.272621254396562e-11,negative,198,-0.10504645205098923,0.16049359518947373,0.24317211392344504,negative,True,0.03470369448186028
HALLMARK_ANGIOGENESIS,36,-0.1020975062231552,5.264542592498923e-07,1.7548475308329745e-06,negative,36,-0.04928947109344424,0.511129365781137,0.6233284948550452,negative,True,0.052808035129710953
HALLMARK_KRAS_SIGNALING_UP,189,-0.060139417831653615,0.0031797103601147957,0.007226614454806354,negative,198,-0.0018766011296644958,0.9800534764637888,0.9800534764637888,negative,True,0.05826281670198912
HALLMARK_HEDGEHOG_SIGNALING,34,0.014161054693817444,0.48768300529520503,0.5805750063038155,positive,36,0.07675160963273328,0.3058029348811911,0.4132472092989069,positive,True,0.06259055493891584
HALLMARK_CHOLESTEROL_HOMEOSTASIS,72,-0.03994736504250614,0.050182343902322735,0.07840991234737928,negative,73,0.031513318312293585,0.6745187948239251,0.7669541861928858,positive,False,0.07146068335479973
HALLMARK_TGF_BETA_SIGNALING,54,-0.0016449029823654903,0.9357531523236244,0.9548501554322698,negative,54,0.07004537177073367,0.3501190109997746,0.46068290921022975,positive,False,0.07169027475309915
HALLMARK_APOPTOSIS,159,-0.06482623972949086,0.0014719282075001336,0.003504590970238413,negative,160,0.008463224173585604,0.91022317842319,0.9287991616563164,positive,False,0.07328946390307647
HALLMARK_INTERFERON_ALPHA_RESPONSE,95,-0.06878185211674341,0.0007390729117502089,0.001847682279375522,negative,95,0.028190170478512713,0.7071766636016119,0.7686702865234911,positive,False,0.09697202259525613
HALLMARK_KRAS_SIGNALING_DN,173,0.04838068711955394,0.017678222741697967,0.035356445483395935,positive,198,0.14586465933346546,0.050723850095003034,0.09754586556731352,positive,True,0.09748397221391152
HALLMARK_APICAL_JUNCTION,188,-0.07018577762469029,0.0005737941201639955,0.0015099845267473565,negative,198,0.03147216477874832,0.6749196838497395,0.7669541861928858,positive,False,0.10165794240343862
HALLMARK_E2F_TARGETS,195,0.26448092330664225,9.179480421660904e-40,2.294870105415226e-38,positive,198,0.36739611304875663,3.908627712513394e-07,4.885784640641742e-06,positive,True,0.10291518974211439
HALLMARK_COMPLEMENT,198,-0.17205893344538675,1.976042646021819e-17,1.976042646021819e-16,negative,200,-0.06626747739127752,0.3767774115870346,0.47097176448379324,negative,True,0.10579145605410924
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,47,-0.052413180682644916,0.010161634927649443,0.022090510712281398,negative,49,-0.16040207002273732,0.031478226159334405,0.07216538054924722,negative,True,0.1079888893400924
HALLMARK_PEROXISOME,102,0.011364398624923342,0.5775742314132788,0.6563343538787259,positive,104,0.12583104416802987,0.0923487738609956,0.15922202389826828,positive,True,0.11446664554310652
HALLMARK_INTERFERON_GAMMA_RESPONSE,196,-0.03814759122953332,0.061468920812554326,0.08952247397073833,negative,197,0.07865469098840498,0.29393029364603157,0.40823651895282165,positive,False,0.1168022822179383
HALLMARK_FATTY_ACID_METABOLISM,153,0.03828286906230708,0.06055320794260361,0.08952247397073833,positive,155,0.15883617807133965,0.03319607505265372,0.07216538054924722,positive,True,0.12055330900903258
HALLMARK_UV_RESPONSE_UP,152,-0.04433122587135562,0.029740841874609396,0.051705856729396524,negative,156,0.08003744971552619,0.28549861167849194,0.4078551595407028,positive,False,0.1243686755868818
HALLMARK_DNA_REPAIR,147,0.13479454986980172,3.2247148277264886e-11,1.465779467148404e-10,positive,148,0.25918289659145854,0.0004425642023956464,0.0024586900133091467,positive,True,0.12438834672165683
HALLMARK_MYC_TARGETS_V2,57,0.25499307332833504,5.436118373007747e-37,9.060197288346244e-36,positive,57,0.3818102081042262,1.2327459294586218e-07,2.0545765490977033e-06,positive,True,0.12681713477589118
HALLMARK_MYC_TARGETS_V1,192,0.2912699735747465,3.194075413536671e-48,1.5970377067683355e-46,positive,184,0.4186363776659773,4.965566737018783e-09,2.4827833685093914e-07,positive,True,0.1273664040912308
HALLMARK_IL2_STAT5_SIGNALING,194,0.002487801100599994,0.9029662281771604,0.9405898210178755,positive,197,0.1298826095455621,0.0822483825624613,0.14687211171868086,positive,True,0.12739480844496212
HALLMARK_ALLOGRAFT_REJECTION,192,0.08566100690836617,2.6043861647507425e-05,7.659959308090419e-05,positive,191,0.21397162463862052,0.003923955523426965,0.012107931349314663,positive,True,0.12831061773025434
HALLMARK_GLYCOLYSIS,196,0.009264680931610498,0.6498098396986046,0.7220109329984495,positive,198,0.14696955667355988,0.0489794386404473,0.09754586556731352,positive,True,0.13770487574194937
HALLMARK_P53_PATHWAY,190,-0.023278214023974834,0.25390910611589784,0.32552449502038183,negative,192,0.11528750887373065,0.12328961094961717,0.19885421120905997,positive,False,0.1385657228977055
HALLMARK_HYPOXIA,188,-0.08335715953730871,4.2757798853238053e-05,0.00011877166348121682,negative,197,0.0679856374167927,0.3645029176334631,0.4673114328634142,positive,False,0.1513427969541014
HALLMARK_PANCREAS_BETA_CELLS,37,0.0907795335874858,8.277921125344366e-06,2.5868503516701143e-05,positive,40,0.2440526217326152,0.000961467999487766,0.004370309088580755,positive,True,0.15327308814512938
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,106,0.15785804341582166,6.9875719390896085e-15,4.991122813635434e-14,positive,107,0.31357963723160176,1.8157656404186772e-05,0.0001815765640418677,positive,True,0.1557215938157801
HALLMARK_COAGULATION,133,-0.1462770835753951,5.714728217597439e-13,3.5717051359983994e-12,negative,138,0.015739168904390054,0.8338979371332962,0.8686436845138502,positive,False,0.16201625247978516
HALLMARK_OXIDATIVE_PHOSPHORYLATION,181,0.11516876137721226,1.4900253295086872e-08,5.730866651956489e-08,positive,185,0.27897891857721446,0.00014920261295490935,0.001243355107957578,positive,True,0.1638101572000022
