gene,spearman_rho_task14,p_value_task14,fdr_task14,direction_task14,spearman_rho_gse111672,p_value_gse111672,fdr_gse111672,direction_gse111672,same_direction,abs_rho_diff
SOCS3,-0.10742466729936467,3.999844632190709e-39,5.333126176254279e-39,negative,-0.10327895447469608,0.16768780016660162,0.3832864003808037,negative,True,0.004145712824668593
STAT3,0.028387800309302675,0.0005635913217958055,0.0006011640765821926,positive,0.035649523166283885,0.6347103513208857,0.7253832586524408,positive,True,0.00726172285698121
IL10,-0.09273981814280043,1.5022018474815864e-29,1.7168021114075273e-29,negative,-0.11119288160093417,0.13727169418118781,0.3660578511498342,negative,True,0.018453063458133745
MAX,0.14360667976456648,8.050276262366055e-69,1.2880442019785687e-68,positive,0.08855146969114787,0.23717017372393887,0.47434034744787773,positive,True,0.05505521007341861
NDUFA1,0.12074206301535445,4.890199383647927e-49,7.113017285306075e-49,positive,0.05421564426631388,0.4697759783017553,0.5781858194483143,positive,True,0.06652641874904057
CD274,-0.02347856203391604,0.004344516353952645,0.004344516353952645,negative,0.06424959866322531,0.39151161067493023,0.522015480899907,positive,False,0.08772816069714136
MKI67,0.1926440098422586,2.44260133911599e-123,5.5830887751222626e-123,positive,0.0674741566272016,0.3681307513991465,0.522015480899907,positive,True,0.125169853215057
TNF,-0.2086287240853038,8.769386758797093e-145,2.3385031356792248e-144,negative,-0.07820103475484144,0.29673227593557355,0.522015480899907,negative,True,0.13042768933046237
MYC,0.2214779444764731,2.261113407955164e-163,9.044453631820657e-163,positive,0.07120385441373951,0.34218802091873,0.522015480899907,positive,True,0.15027409006273357
MTOR,0.17652083731844825,1.466578852164612e-103,2.933157704329224e-103,positive,-0.027743634141470547,0.7116075703608937,0.75904807505162,negative,False,0.2042644714599188
CD86,-0.24254719509825415,1.6251257165573483e-196,1.3001005732458786e-195,negative,-0.013379554588755059,0.8585164571318522,0.8585164571318522,negative,True,0.2291676405094991
HLA-DMA,-0.10171595925223838,3.107049835797241e-35,3.8240613363658346e-35,negative,0.2379171371056455,0.0012996221314014829,0.005198488525605931,positive,False,0.33963309635788386
BCL2L1,0.306477256287869,0.0,0.0,positive,-0.14580998880939572,0.05081148683279279,0.16259675786493694,negative,False,0.4522872450972647
HLA-DMB,-0.15968839139948993,7.357608492750415e-85,1.3080192876000739e-84,negative,0.2983873629924044,4.732283485798804e-05,0.0002523884525759362,positive,False,0.45807575439189435
HLA-DRA,-0.23088731334639107,9.242518792899719e-178,4.929343356213183e-177,negative,0.38430021866492287,1.0042059382270496e-07,1.6067295011632793e-06,positive,False,0.6151875320113139
