gene,baseMean_monocytes,log2FoldChange_monocytes,lfcSE_monocytes,stat_monocytes,pvalue_monocytes,padj_monocytes,baseMean_moDCs,log2FoldChange_moDCs,lfcSE_moDCs,stat_moDCs,pvalue_moDCs,padj_moDCs,same_direction,significant_both,geo_mean_padj,direction
RAB7B,537.0184003287096,-0.28186456080309985,0.10446372482456662,-2.6982051547219394,0.0069714463047640726,0.039350192859845264,412.79084701927866,-1.5883283686542404,0.19809546197520075,-8.017994722428728,1.0748542400074742e-15,1.4178402279938592e-11,True,True,7.46942343263557e-07,down
RASGRP2,486.5797265946488,-0.6262893256169365,0.1357380859375376,-4.613954302443422,3.950793252696185e-06,0.0011623908997130889,53.32636298050508,-2.1358954915846393,0.4189075854986591,-5.098727178793176,3.4194497139091294e-07,0.00018794150490073053,True,True,0.0004673986467406512,down
GAS7,1535.1514046967243,-0.20950934887862324,0.0924445657477262,-2.2663241174214335,0.023431545842033937,0.08034663204413413,2475.1249807386503,-0.5989324984467086,0.10256191144621966,-5.839716616053617,5.228968867944831e-09,6.270484394278206e-06,True,True,0.0007097973671165287,down
S100A4,6173.090928519868,-0.30438958869719446,0.0776975245561349,-3.917622735551621,8.942651671051646e-05,0.005388723621882228,2676.3312063886424,-2.198791204934631,0.42761113316824867,-5.142034513094612,2.717791742022889e-07,0.00015587126464793014,True,True,0.0009164863151083912,down
LILRA2,316.4528759125573,-0.4787803991234436,0.14065096139660144,-3.404032182712207,0.000663989297845455,0.012412316067788427,1334.8308512260533,-0.9620087078629714,0.18338752467336902,-5.245769632238629,1.556312672716573e-07,9.775866888478245e-05,True,True,0.001101549588790352,down
PARVG,1379.0980780618513,-0.3906535861432898,0.09802607814347364,-3.985200607245743,6.742313994319615e-05,0.0046445633509461,1644.3890417223877,-1.0613595080433689,0.23467706167038835,-4.522638473861937,6.10735052741338e-06,0.001685379118258033,True,True,0.0027978295311028357,down
PLD3,183.10201143883899,-0.7559609744759391,0.20122973899329472,-3.756706032904654,0.00017216453537795813,0.006939232102136914,17219.03021658105,-0.8685304716892381,0.1864065464345332,-4.659334601181885,3.172331786051805e-06,0.00123077142911204,True,True,0.0029224319686328363,down
ECM1,1231.3834597312468,-0.5794906851202571,0.11546077011582255,-5.018940065434785,5.195735548343962e-07,0.0004582373909954574,335.86162536746906,-1.5503095254743071,0.4190602958240385,-3.6994903619437025,0.0002160328437913433,0.019125431157393354,True,True,0.0029604032960438282,down
GLMP,287.24691964419554,-0.3863573765116637,0.13987362188916874,-2.7621889766878316,0.0057415235762882325,0.035023293815358215,1212.5261841040312,-0.8637350667960562,0.17654657609203264,-4.892392058318913,9.961775314032502e-07,0.00048668806728667676,True,True,0.004128609835890297,down
GRN,1245.4442959053117,-0.6369446805099952,0.28654621740055236,-2.222834020592335,0.02622699413454452,0.08632810849398356,19372.398795940855,-0.7518008534589876,0.14982775047409594,-5.017767743826389,5.227531971068715e-07,0.0002758254969214697,True,True,0.004879702185958029,down
PTK2B,2857.9971758479696,-0.3623170891047371,0.09589403121020304,-3.7783069971323395,0.00015789815557016066,0.006614601047198176,591.6130184772579,-0.6071259381079848,0.14192204475662895,-4.277883250266706,1.8867892913432457e-05,0.003888849615954493,True,True,0.005071803302779871,down
TCIRG1,178.43633300639712,-0.8477741892110877,0.21220305010855064,-3.9951084057341117,6.466465764471457e-05,0.004638909137192746,3239.446134102765,-0.7954050523049524,0.1945185720594786,-4.089095678029853,4.330582115549048e-05,0.007140588585775936,True,True,0.005755392396308893,down
LRPAP1,402.92831656020206,-0.42450380263982224,0.13246115143360415,-3.20474190391289,0.00135183640576098,0.017127465752428597,3686.249672457461,-0.5786051790412219,0.13015977690505964,-4.445345503805408,8.775072451630458e-06,0.0022259996290280265,True,True,0.006174603826246367,down
MICAL1,1322.6117521952754,-0.5358221810414078,0.1262690747900561,-4.243494948642837,2.2006532878112234e-05,0.0026739826414484765,2581.1158170959775,-0.6085504629618254,0.15941220408009066,-3.8174647071317205,0.00013483006706265633,0.014458667022070961,True,True,0.006217895515003552,down
CSF3R,1131.4169919787712,-0.5292900274837898,0.13741158063343878,-3.851858955729008,0.00011722453850682156,0.005713874584881568,1168.3516864108542,-1.4290374503993006,0.3513629819625016,-4.067125803684724,4.7596550893567556e-05,0.0074743583671077335,True,True,0.006535101094253537,down
CALCOCO1,625.4001165268163,-0.42323633988527753,0.10689123335461401,-3.9595046909149385,7.510536931496763e-05,0.00489640067077767,1608.6415207376506,-0.572634502153706,0.1447911941492729,-3.9548986768031402,7.656709420025662e-05,0.009901926858780245,True,True,0.006963031043541528,down
METTL7B,341.8066837500344,-0.3653651311985928,0.13261880381496105,-2.75500246336391,0.005869169357929538,0.03562304113902095,99.91917651744832,-2.840078829865442,0.6250683076947567,-4.5436295440087395,5.529379796302311e-06,0.0016576829293869042,True,True,0.007684510862052473,down
ITGA7,279.1348530819282,-0.6045955072894802,0.14821149858405366,-4.079275313086469,4.517630967774964e-05,0.003862574477447594,62.42128719684889,-1.663504015711098,0.45111734727404174,-3.687519501883761,0.0002264507433257269,0.019914078368064424,True,True,0.00877038259407062,down
