gene,baseMean_monocytes,log2FoldChange_monocytes,lfcSE_monocytes,stat_monocytes,pvalue_monocytes,padj_monocytes,baseMean_moDCs,log2FoldChange_moDCs,lfcSE_moDCs,stat_moDCs,pvalue_moDCs,padj_moDCs,same_direction,significant_both,geo_mean_padj,direction
A1BG,3.108107891280111,0.011423217808105377,1.1556193816784164,0.009884930963613942,0.9921130946404383,,27.98957935145636,-0.08423106250238888,0.3461257453288068,-0.24335393607422195,0.8077312249598735,0.970849481433156,False,False,0.985316944659512,up
A1BG-AS1,18.92263825807304,-0.39479515760128236,0.44743759707840164,-0.8823468572581863,0.37758926448526975,,84.71866997313649,-0.24099544367024503,0.3459431899269459,-0.6966330041679298,0.4860324957403245,0.9034254293794998,True,False,0.9504869432977497,down
A2M,215.00106895725523,-0.2062554943667954,0.15337100525821873,-1.344814125848228,0.17868526736305423,0.3104373790579645,36666.543432286846,-0.18397088315536653,0.4675129145646681,-0.39350973507688847,0.6939430352108447,0.9559317160514571,True,False,0.5447540146611098,down
A4GALT,30.537455785124,-0.38045823953659896,0.3763524738208457,-1.0109093629014054,0.31205981235428837,,23.502121967943452,0.33938766274508897,1.0804156844102053,0.31412693062703856,0.7534246363352098,0.9636674725969946,False,False,0.981665662329591,down
AAAS,269.5422391751959,-0.3983767849248473,0.13920885314026557,-2.8617201847316887,0.004213487184146748,0.030010654519555365,478.2661677881323,0.02640824923642498,0.2655855019796406,0.09943407693409935,0.9207936273407253,0.9884457804489658,False,False,0.17223212484425252,down
AACS,208.17003741881672,-0.18679361027193558,0.15172909277762248,-1.2310995001183092,0.21828565248919363,0.35914404124234695,94.24957878348285,-0.9471068405692342,0.32406463295375815,-2.922586250577921,0.0034713746179890707,0.11306395700220699,True,False,0.20150991647217656,down
AAED1,647.26981310651,0.17801981446409185,0.10641770588480234,1.672840181847174,0.09435876225422211,0.19898003902275155,301.2848654146303,-0.07712254344170912,0.1995859841570242,-0.3864126219456021,0.6991911037287507,0.9564348205973083,False,False,0.4362469918809421,up
AAGAB,874.6377015506922,0.047386512320664875,0.09477393728732736,0.49999518514254165,0.6170784677447836,0.7350400247854102,609.6281954950584,0.06170136140933437,0.12868146784296375,0.47948910160576924,0.631590719560146,0.943565159616385,True,False,0.8328013918762848,up
AAK1,3636.2332482287093,0.14819749379071287,0.07332807714499064,2.0210197725174757,0.043277718326805895,0.11898859158059627,1139.4199450989695,0.062154604134865774,0.1797687889642578,0.3457474709206811,0.7295325052185224,0.9623263276337529,True,False,0.33838713682122684,up
AAMDC,124.70531355808795,-0.02441706618008555,0.18545816457791897,-0.13165808167926132,0.8952547427864006,0.9350927938858681,28.451637425667634,0.34751381333608905,0.6061361506223636,0.5733263277223634,0.5664237624562307,0.9253999765673027,False,False,0.930233760702242,down
