fold_id,heldout_context,training_contexts,dataset,contrast,context_type,evaluation_role,module,available_genes,concordant_genes,concordance_fraction
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_ABF_vs_LPS,lps_background,heldout_lps_background,A_Myeloid_lineage_state,18,2,0.1111111111111111
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_ABF_vs_LPS,lps_background,heldout_lps_background,B_Proliferative_metabolic,19,14,0.7368421052631579
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_ABF_vs_LPS,lps_background,heldout_lps_background,C_Context_sensitive_residual,35,7,0.2
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,lps_background,heldout_lps_background,A_Myeloid_lineage_state,18,12,0.6666666666666666
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,lps_background,heldout_lps_background,B_Proliferative_metabolic,19,16,0.8421052631578947
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,lps_background,heldout_lps_background,C_Context_sensitive_residual,35,23,0.6571428571428571
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_Al_CPI_1uM_vs_LPS,lps_background,heldout_lps_background,A_Myeloid_lineage_state,18,11,0.6111111111111112
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_Al_CPI_1uM_vs_LPS,lps_background,heldout_lps_background,B_Proliferative_metabolic,19,10,0.5263157894736842
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_Al_CPI_1uM_vs_LPS,lps_background,heldout_lps_background,C_Context_sensitive_residual,35,14,0.4
GSE250463__Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_ABF_vs_LPS,lps_background,heldout_lps_background,A_Myeloid_lineage_state,18,5,0.2777777777777778
GSE250463__Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_ABF_vs_LPS,lps_background,heldout_lps_background,B_Proliferative_metabolic,19,14,0.7368421052631579
GSE250463__Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_ABF_vs_LPS,lps_background,heldout_lps_background,C_Context_sensitive_residual,35,4,0.11428571428571428
