gene,direction,module,resting_concordance_mean,resting_contexts_available,lps_concordance_mean,lps_contexts_available,assignment_rule,assignment_scope
ANAPC15,down,A_Myeloid_lineage_state,1.0,2,0.6666666666666666,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
ARHGAP9,down,A_Myeloid_lineage_state,1.0,3,0.3333333333333333,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
ATP6V0D1,down,A_Myeloid_lineage_state,0.6666666666666666,3,0.6666666666666666,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
CAMK1,down,A_Myeloid_lineage_state,0.6666666666666666,3,0.0,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
CD68,down,A_Myeloid_lineage_state,1.0,3,0.0,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
CSF3R,down,A_Myeloid_lineage_state,1.0,3,0.6666666666666666,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
CTSA,down,A_Myeloid_lineage_state,0.6666666666666666,3,0.0,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
DPP7,down,A_Myeloid_lineage_state,0.6666666666666666,3,1.0,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
ECM1,down,A_Myeloid_lineage_state,0.6666666666666666,3,0.3333333333333333,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
FCGRT,down,A_Myeloid_lineage_state,0.6666666666666666,3,0.6666666666666666,3,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
GBA,down,A_Myeloid_lineage_state,1.0,1,,0,down-direction gene with mean resting concordance >= 2/3 across all three resting construction contexts,construction_only_all_resting_contexts
