Category,TF,Arm,Matches_Found,Libraries_With_Match,Libraries_Significant,Best_FDR,Best_P_value,Best_Odds_Ratio,Best_Term,Significance_Status,Libraries_Significant_List
Myeloid lineage,SPI1,Combined,15,3,2,0.017744429258356516,0.00018877052402506932,3.013592338370547,SPI1 ENCODE,ENRICHED_MULTI_LIBRARY,"ChEA_2022, ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X"
Myeloid lineage,SPI1,Up,14,2,0,0.17772533567197007,0.05246084005351854,3.20525783619818,SPI1 CHEA,NOT_ENRICHED,
Myeloid lineage,SPI1,Down,15,3,3,0.012936506847422707,0.0005306716540160845,3.230849673202614,SPI1 ENCODE,ENRICHED_MULTI_LIBRARY,"ChEA_2022, ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X, TRRUST_Transcription_Factors_2019"
Myeloid lineage,RUNX1,Combined,14,3,2,0.020688109115083536,0.0001233270290019883,2.458580466587584,RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human,ENRICHED_MULTI_LIBRARY,"ChEA_2022, ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X"
Myeloid lineage,RUNX1,Up,10,2,0,0.32013971947945163,0.02733970132972482,3.4353460159911773,RUNX1 27514584 ChIP-Seq MCF-7 Human BreastCancer,NOT_ENRICHED,
Myeloid lineage,RUNX1,Down,14,3,2,0.007921910681702036,9.660866685002482e-05,3.870490286771508,RUNX1 CHEA,ENRICHED_MULTI_LIBRARY,"ChEA_2022, ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X"
Myeloid lineage,MECOM,Combined,1,1,1,0.0020946392453090983,3.121668025795974e-06,3.703813524421382,MECOM 23826213 ChIP-Seq KASUMI Mouse,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Myeloid lineage,MECOM,Up,1,1,0,0.3565085394320766,0.04329703227934807,3.002196193265007,MECOM 23826213 ChIP-Seq KASUMI Mouse,NOT_ENRICHED,
Myeloid lineage,MECOM,Down,1,1,1,0.006300643793518738,2.042348069211909e-05,3.9530167026474263,MECOM 23826213 ChIP-Seq KASUMI Mouse,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Myeloid lineage,FLI1,Combined,7,2,1,0.026433532404880118,0.0003443029989789517,2.8542425416505233,FLI1 20887958 ChIP-Seq HPC-7 Mouse,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Myeloid lineage,FLI1,Up,5,2,0,0.3565085394320766,0.041225281143646264,3.0467359050445104,FLI1 20887958 ChIP-Seq HPC-7 Mouse,NOT_ENRICHED,
Myeloid lineage,FLI1,Down,7,2,0,0.07320267468212376,0.0026773494045779327,2.773498785144047,FLI1 20887958 ChIP-Seq HPC-7 Mouse,NOT_ENRICHED,
Myeloid lineage,CLOCK,Combined,1,1,1,0.020688109115083536,7.201459613670693e-05,5.689276547200304,CLOCK 20551151 ChIP-Seq 293T Human,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Myeloid lineage,CLOCK,Up,1,1,0,0.40271112612213983,0.07979646387975733,4.620283835237106,CLOCK 20551151 ChIP-Seq 293T Human,NOT_ENRICHED,
Myeloid lineage,CLOCK,Down,1,1,1,0.025718507507057255,0.00032802754464948946,6.020343580470163,CLOCK 20551151 ChIP-Seq 293T Human,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Myeloid lineage,CEBPB,Combined,13,3,1,0.026433532404880118,0.0003734656410663338,3.0096269554753308,CEBPB 20176806 ChIP-Seq MACROPHAGES Mouse,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Myeloid lineage,CEBPB,Up,9,2,0,0.08528180320712585,0.01565118061201246,11.571794871794872,CEBPB ENCODE,NOT_ENRICHED,
Myeloid lineage,CEBPB,Down,12,2,1,0.019714531437226995,0.00012187294437229674,3.779185520361991,CEBPB 20513432 ChIP-Seq MACROPHAGES Mouse,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Myeloid lineage,LXR,Combined,2,1,1,0.022429859541426688,0.00020056506296357694,3.1972010178117047,LXR 22292898 ChIP-Seq THP-1 Human,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Myeloid lineage,LXR,Up,1,1,0,0.40271112612213983,0.07810533699722254,2.7741150442477878,LXR 22158963 ChIP-Seq LIVER Mouse,NOT_ENRICHED,
Myeloid lineage,LXR,Down,2,1,1,0.0020845456436335446,3.3785180609944e-06,4.8034351145038165,LXR 22292898 ChIP-Seq THP-1 Human,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Classical immune,NFKB1,Combined,2,2,0,0.6519568876733747,0.6394192552181175,0.9894659300184162,NFKB1 human,NOT_ENRICHED,
Classical immune,NFKB1,Up,1,1,0,0.7312520202605671,0.4678873277539502,1.188842105263158,NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,NOT_ENRICHED,
Classical immune,NFKB1,Down,2,2,0,0.5391333965613447,0.5281306741825418,1.3512807634354596,NFKB1 human,NOT_ENRICHED,
Classical immune,RELA,Combined,3,3,0,0.545283806382534,0.16925224642228406,1.5972333636379843,RELA 24523406 ChIP-Seq FIBROSARCOMA Human,NOT_ENRICHED,
Classical immune,RELA,Up,1,1,0,0.8476926671941108,0.7095461891456349,0.8257824047297732,RELA 24523406 ChIP-Seq FIBROSARCOMA Human,NOT_ENRICHED,
Classical immune,RELA,Down,3,3,0,0.5391333965613447,0.5261663058918951,1.3588888888888888,RELA human,NOT_ENRICHED,
Classical immune,IRF1,Combined,1,1,0,0.8464475919906767,0.7074428199555447,0.8192660550458716,IRF1 ENCODE,NOT_ENRICHED,
Classical immune,IRF1,Up,1,1,0,0.42159847790698657,0.2758653202064121,3.247464992757122,IRF1 ENCODE,NOT_ENRICHED,
Classical immune,IRF1,Down,0,0,0,,,,,NOT FOUND,
Classical immune,IRF8,Combined,4,2,0,0.13328091054162639,0.043572605369377855,25.916190476190476,IRF8 human,NOT_ENRICHED,
Classical immune,IRF8,Up,2,1,0,0.4646084470410403,0.1165342239319807,3.6669430624654504,IRF8 22096565 ChIP-ChIP GC-B Mouse,NOT_ENRICHED,
Classical immune,IRF8,Down,4,2,0,0.09863031593041174,0.03227036785679285,35.39220779220779,IRF8 human,NOT_ENRICHED,
Classical immune,STAT1,Combined,4,2,0,0.28316812424922855,0.255940419994495,3.477179487179487,STAT1 human,NOT_ENRICHED,
Classical immune,STAT1,Up,2,1,0,0.3593359379474678,0.049127613976263786,2.4171460800902427,STAT1 19122651 ChIP-Seq HeLaS3 Human CervicalCancer,NOT_ENRICHED,
Classical immune,STAT1,Down,4,2,0,0.21784255484988996,0.19561372272235017,4.748601398601399,STAT1 human,NOT_ENRICHED,
Classical immune,STAT3,Combined,10,3,0,0.14538242076145164,0.010833265332447961,3.45012987012987,STAT3 29892750 ChIP-Seq EML Mouse BoneMarrow,NOT_ENRICHED,
Classical immune,STAT3,Up,9,2,0,0.17772533567197007,0.05506982232089214,3.857269329136337,STAT3 ENCODE,NOT_ENRICHED,
Classical immune,STAT3,Down,9,3,0,0.3355856563950819,0.31503959579946467,2.7056943056943057,STAT3 human,NOT_ENRICHED,
Proliferation/metabolic,MYC,Combined,17,3,1,0.022429859541426688,0.00017526812492625832,3.128580287013524,MYC 19915707 ChIP-ChIP AK7 Human,ENRICHED_SINGLE_LIBRARY,ChEA_2022
Proliferation/metabolic,MYC,Up,15,2,1,2.3374989049101032e-05,6.584503957493248e-07,11.134697567389875,MYC ENCODE,ENRICHED_SINGLE_LIBRARY,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
Proliferation/metabolic,MYC,Down,14,3,0,0.06966684220527028,0.0022582444799115163,2.951982969329023,MYC 19915707 ChIP-ChIP AK7 Human,NOT_ENRICHED,
Proliferation/metabolic,MAX,Combined,1,1,0,0.09372559789113713,0.007444907431959586,2.0574288724973657,MAX ENCODE,NOT_ENRICHED,
Proliferation/metabolic,MAX,Up,1,1,1,1.2806694242403781e-06,1.8037597524512367e-08,14.426694692590646,MAX ENCODE,ENRICHED_SINGLE_LIBRARY,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
Proliferation/metabolic,MAX,Down,1,1,0,0.9835091759542968,0.908577340478985,0.6010029534826483,MAX ENCODE,NOT_ENRICHED,
Proliferation/metabolic,E2F1,Combined,7,2,0,0.3773747230723926,0.06017748937219971,1.5568953239971517,E2F1 18555785 ChIP-Seq MESCs Mouse,NOT_ENRICHED,
Proliferation/metabolic,E2F1,Up,7,2,0,0.05868869767330639,0.00419933449021032,5.63826998689384,E2F1 CHEA,NOT_ENRICHED,
Proliferation/metabolic,E2F1,Down,6,2,0,0.5441204844756629,0.11905391475561507,1.7873424890273255,E2F1 20622854 ChIP-Seq HELA Human,NOT_ENRICHED,
Proliferation/metabolic,TFEB,Combined,1,1,0,0.18969406905056962,0.019714958993489122,2.538288947419764,TFEB 21752829 ChIP-Seq HELA Human,NOT_ENRICHED,
Proliferation/metabolic,TFEB,Up,1,1,0,0.7821452078524415,0.5990314638555354,1.1267471958584987,TFEB 21752829 ChIP-Seq HELA Human,NOT_ENRICHED,
Proliferation/metabolic,TFEB,Down,1,1,0,0.1637424705196796,0.011851165723872814,3.0815988647114474,TFEB 21752829 ChIP-Seq HELA Human,NOT_ENRICHED,
