dataset,contrast,context_group,score,paired,n_case,n_control,case_mean,control_mean,delta_case_minus_control,p_value
GSE2135,InfectedPost_vs_InfectedPre,natural_infection,core_ev_signed_score_z,True,4,4,-0.4439113842147131,-0.05365681117678009,-0.390254573037933,0.625
GSE2135,InfectedPost_vs_InfectedPre,natural_infection,down_arm_signed_score_z,True,4,4,-0.2385906535002658,-0.002016417606331644,-0.23657423589393414,0.875
GSE2135,InfectedPost_vs_InfectedPre,natural_infection,module_a_signed_score_z,True,4,4,-0.34890699681936493,0.49715765043405136,-0.8460646472534163,0.375
GSE2135,InfectedPost_vs_InfectedPre,natural_infection,module_b_signed_score_z,True,4,4,-0.619882297082461,-0.12945134973426348,-0.49043094734819753,0.375
GSE2135,InfectedPost_vs_InfectedPre,natural_infection,module_c_signed_score_z,True,4,4,0.2288525461817012,-1.2413793870911116,1.4702319332728129,0.125
GSE2135,InfectedPost_vs_InfectedPre,natural_infection,up_arm_signed_score_z,True,4,4,-0.619882297082461,-0.12945134973426348,-0.49043094734819753,0.375
GSE2135,InfectedPre_vs_EndemicNegativePre,natural_infection,core_ev_signed_score_z,False,4,2,-0.05365681117678009,1.3176885833839742,-1.3713453945607543,0.06666666666666667
GSE2135,InfectedPre_vs_EndemicNegativePre,natural_infection,down_arm_signed_score_z,False,4,2,-0.002016417606331644,0.7922408084744841,-0.7942572260808157,0.06666666666666667
GSE2135,InfectedPre_vs_EndemicNegativePre,natural_infection,module_a_signed_score_z,False,4,2,0.49715765043405136,0.762812113872237,-0.26565446343818566,0.4
GSE2135,InfectedPre_vs_EndemicNegativePre,natural_infection,module_b_signed_score_z,False,4,2,-0.12945134973426348,1.6692441278348342,-1.7986954775690978,0.13333333333333333
GSE2135,InfectedPre_vs_EndemicNegativePre,natural_infection,module_c_signed_score_z,False,4,2,-1.2413793870911116,0.2239290121157096,-1.4653083992068212,0.06666666666666667
GSE2135,InfectedPre_vs_EndemicNegativePre,natural_infection,up_arm_signed_score_z,False,4,2,-0.12945134973426348,1.6692441278348342,-1.7986954775690978,0.13333333333333333
GSE2135,InfectedPre_vs_Normal,natural_infection,core_ev_signed_score_z,False,4,2,-0.05365681117678009,-0.7092539475554331,0.655597136378653,0.4666666666666667
GSE2135,InfectedPre_vs_Normal,natural_infection,down_arm_signed_score_z,False,4,2,-0.002016417606331644,-0.8438196645603133,0.8418032469539817,0.5333333333333333
