stimulus,cell_type,module,n_total,concordant,discordant,minimal_change,evaluable,concordance_fraction
TLR7/8,MDDCs,A,32,28,3,1,31,0.9032258064516129
TLR7/8,MDDCs,B,19,10,6,3,16,0.625
TLR7/8,MDDCs,C,20,18,2,0,20,0.9
TLR7/8,MDMs,A,32,27,2,3,29,0.9310344827586207
TLR7/8,MDMs,B,19,4,13,2,17,0.23529411764705882
TLR7/8,MDMs,C,20,13,7,0,20,0.65
TLR7/8,mono,A,32,28,3,1,31,0.9032258064516129
TLR7/8,mono,B,19,3,14,2,17,0.17647058823529413
TLR7/8,mono,C,20,18,1,1,19,0.9473684210526315
TLR7,MDMs,A,32,24,6,2,30,0.8
TLR7,MDMs,B,19,3,15,1,18,0.16666666666666666
TLR7,MDMs,C,20,10,8,2,18,0.5555555555555556
TLR7,mono,A,32,26,4,2,30,0.8666666666666667
TLR7,mono,B,19,2,17,0,19,0.10526315789473684
TLR7,mono,C,20,14,4,2,18,0.7777777777777778
TLR4,MDDCs,A,32,28,4,0,32,0.875
TLR4,MDDCs,B,19,7,6,6,13,0.5384615384615384
TLR4,MDDCs,C,20,18,1,1,19,0.9473684210526315
TLR4,MDMs,A,32,29,3,0,32,0.90625
TLR4,MDMs,B,19,2,14,3,16,0.125
TLR4,MDMs,C,20,18,1,1,19,0.9473684210526315
TLR4,mono,A,32,22,5,5,27,0.8148148148148148
TLR4,mono,B,19,3,16,0,19,0.15789473684210525
TLR4,mono,C,20,9,9,2,18,0.5
TLR7/8,MDDCs,ALL,71,56,11,4,67,0.835820895522388
TLR7/8,MDMs,ALL,71,44,22,5,66,0.6666666666666666
TLR7/8,mono,ALL,71,49,18,4,67,0.7313432835820896
TLR7,MDMs,ALL,71,37,29,5,66,0.5606060606060606
TLR7,mono,ALL,71,42,25,4,67,0.6268656716417911
TLR4,MDDCs,ALL,71,53,11,7,64,0.828125
TLR4,MDMs,ALL,71,49,18,4,67,0.7313432835820896
TLR4,mono,ALL,71,34,30,7,64,0.53125
