dataset,contrast,context,n_samples_case,n_samples_control,core_mean_difference,core_score_p_value,available_up_genes,available_down_genes,up_concordant,down_concordant,total_available_genes,total_concordant_genes,concordance_fraction,direction_empirical_p_value,up_fraction,down_fraction,arm_gap_down_minus_up
GSE2135,InfectedPost_vs_InfectedPre,Natural human filarial infection,4,4,-66.75145614035085,0.625,15,38,8,18,53,26,0.490566037735849,0.5625,0.5333333333333333,0.47368421052631576,-0.05964912280701756
GSE2135,InfectedPre_vs_EndemicNegativePre,Natural human filarial infection,4,2,-234.56304751462017,0.0666666666666666,15,38,3,13,53,16,0.3018867924528302,0.8666666666666667,0.2,0.34210526315789475,0.14210526315789473
GSE2135,InfectedPre_vs_Normal,Natural human filarial infection,4,2,112.13722149122816,0.4666666666666667,15,38,7,27,53,34,0.6415094339622641,0.2666666666666666,0.4666666666666667,0.7105263157894737,0.243859649122807
GSE250463,Al_CPI_0.1uM_vs_Control,Cross-helminth moDC resting,6,6,0.0352498816972873,0.6875,19,53,8,35,72,43,0.5972222222222222,0.3125,0.42105263157894735,0.660377358490566,0.23932472691161866
GSE250463,Al_CPI_1uM_vs_Control,Cross-helminth moDC resting,6,6,0.1237900758387766,0.21875,19,53,7,35,72,42,0.5833333333333334,0.3125,0.3684210526315789,0.660377358490566,0.2919563058589871
GSE250463,LPS_ABF_vs_LPS,Cross-helminth moDC LPS background,6,6,0.0138362677057325,0.84375,19,53,14,9,72,23,0.3194444444444444,0.90625,0.7368421052631579,0.16981132075471697,-0.5670307845084409
GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,Cross-helminth moDC LPS background,6,6,0.1246254250562682,0.21875,19,53,16,35,72,51,0.7083333333333334,0.21875,0.8421052631578947,0.660377358490566,-0.1817279046673287
GSE250463,LPS_Al_CPI_1uM_vs_LPS,Cross-helminth moDC LPS background,6,6,0.0032438734437543,1.0,19,53,10,25,72,35,0.4861111111111111,0.59375,0.5263157894736842,0.4716981132075472,-0.054617676266137005
GSE360,DC_Brugia50_vs_Baseline,Direct human Brugia exposure,2,2,35.77334152334174,0.6666666666666666,11,37,6,25,48,31,0.6458333333333334,0.3333333333333333,0.5454545454545454,0.6756756756756757,0.13022113022113024
GSE360,DC_Brugia5_vs_Baseline,Direct human Brugia exposure,2,2,-51.02204135954139,0.6666666666666666,11,37,4,22,48,26,0.5416666666666666,0.5,0.36363636363636365,0.5945945945945946,0.23095823095823098
GSE360,DC_BrugiaCombined_vs_Baseline,Direct human Brugia exposure,4,2,-7.624349918099938,0.9333333333333332,11,37,5,26,48,31,0.6458333333333334,0.1333333333333333,0.45454545454545453,0.7027027027027027,0.2481572481572482
GSE360,Macrophage_Brugia50_vs_Baseline,Direct human Brugia exposure,2,2,77.01215192465179,1.0,11,37,7,23,48,30,0.625,0.5,0.6363636363636364,0.6216216216216216,-0.014742014742014753
GSE360,Macrophage_Brugia5_vs_Baseline,Direct human Brugia exposure,2,2,319.02364864864876,0.3333333333333333,11,37,7,26,48,33,0.6875,0.1666666666666666,0.6363636363636364,0.7027027027027027,0.06633906633906639
GSE360,Macrophage_BrugiaCombined_vs_Baseline,Direct human Brugia exposure,4,2,198.0179002866504,0.4,11,37,6,26,48,32,0.6666666666666666,0.3333333333333333,0.5454545454545454,0.7027027027027027,0.15724815724815733
GSE42694,LC_L3_vs_LC_Control,Same-parasite L3 Langerhans exposure,6,6,-30.650788937056603,0.21875,18,52,5,25,70,30,0.4285714285714285,0.75,0.2777777777777778,0.4807692307692308,0.202991452991453
