contrast,group,n_available,n_concordant,concordance_fraction,binom_p_greater,pearson_r,spearman_rho,median_abs_lfc,median_padj
tems_vs_ph73,full_signature,73,62,0.8493150684931506,4.5445035045392935e-10,0.5534270028997532,0.5652536097741578,0.490034869038423,0.05882512109037094
tems_vs_ph73,down_arm,54,45,0.8333333333333334,3.644215388343141e-07,0.24774581299083512,0.28744044215742326,0.6086644320067371,0.054158136388772746
tems_vs_ph73,up_arm,19,17,0.8947368421052632,0.0003643035888671875,0.7950771033839504,0.21228070175438596,0.27702950335192655,0.10861715683944793
tems_vs_ph73,module_a,33,30,0.9090909090909091,7.005874067544937e-07,0.5151932886618125,0.5243983957219251,0.7620756881064356,0.05135555667152099
tems_vs_ph73,module_b,19,17,0.8947368421052632,0.0003643035888671875,0.7950771033839504,0.21228070175438596,0.27702950335192655,0.10861715683944793
tems_vs_ph73,module_c,21,15,0.7142857142857143,0.03917694091796875,-0.3209661982102241,-0.10519480519480517,0.5515497452138647,0.16546628615880898
ph65_vs_ph73,full_signature,73,33,0.4520547945205479,0.8254090809147059,-0.04854135351926793,0.09357645316549427,0.25337441974594016,0.30532441210152067
ph65_vs_ph73,down_arm,54,25,0.46296296296296297,0.7516912823410333,-0.22424156668299225,0.1982466171145416,0.2635669015600557,0.29763191994850896
ph65_vs_ph73,up_arm,19,8,0.42105263157894735,0.8203582763671875,0.8125832600285897,0.3929824561403509,0.21159540794113416,0.525736365257813
ph65_vs_ph73,module_a,33,21,0.6363636363636364,0.08137782872654498,0.03693068141869381,0.28141711229946526,0.2665701023501764,0.21637703793486832
ph65_vs_ph73,module_b,19,8,0.42105263157894735,0.8203582763671875,0.8125832600285897,0.3929824561403509,0.21159540794113416,0.525736365257813
ph65_vs_ph73,module_c,21,4,0.19047619047619047,0.9992551803588867,-0.6269615932281981,-0.044155844155844164,0.251223644891444,0.30532441210152067
