gene,direction,arm,module_group,ev_mean_log2fc,tems_vs_ph73_base_mean,tems_vs_ph73_log2fc,tems_vs_ph73_lfc_se,tems_vs_ph73_stat,tems_vs_ph73_pvalue,tems_vs_ph73_padj,ph65_vs_ph73_base_mean,ph65_vs_ph73_log2fc,ph65_vs_ph73_lfc_se,ph65_vs_ph73_stat,ph65_vs_ph73_pvalue,ph65_vs_ph73_padj,tems_vs_ph73_concordant,ph65_vs_ph73_concordant
ANAPC15,down,down_arm,module_a,-0.5014105363772317,254.095482791847,0.3465251221396526,0.17910120484742187,1.9348006197661307,0.05301476702622928,0.1506029973783501,187.91450666130515,-0.36049106365139644,0.17147183669581026,-2.1023339493989606,0.035524032660226725,0.12620250292836582,False,True
ARHGAP9,down,down_arm,module_a,-0.6871138454292343,689.6220237079148,-1.0244370718989833,0.3316778390885372,-3.088650947299264,0.0020106752134577293,0.011120861816978933,602.7691919078025,-1.3558092319477106,0.3012211280601337,-4.501042940377828,6.762084191844159e-06,0.00027741883863976037,True,True
ATP6V0D1,down,down_arm,module_a,-0.4467473571741007,3663.835438462446,-0.268308626322761,0.18443865109092658,-1.454731016171265,0.14574374242610183,0.31413731539456907,4148.929271667839,0.27331260968771154,0.19167073022623585,1.4259486013597946,0.15388317898168866,0.3372004295900329,True,False
CAMK1,down,down_arm,module_a,-0.7429373415628673,2338.936961783264,-0.9171181845799207,0.19515090711502858,-4.699533290098108,2.607567154435741e-06,3.5202156584882504e-05,2608.541555857075,-0.2762607234084065,0.13366414957394568,-2.066827375096368,0.038750422992523535,0.13398309408544062,True,True
CD68,down,down_arm,module_a,-0.4760829588599905,10429.830000137106,-1.6030992820882903,0.6524082999193154,-2.4572024639885006,0.014002374710161514,0.05327362629444162,14947.358114370507,0.17080119995822804,0.17773772782410877,0.9609732387670378,0.3365656237048723,0.5477372949156628,True,False
CSF3R,down,down_arm,module_a,-0.9791637389415453,674.6345125299185,-1.9184845397681323,0.20446044222395166,-9.383157538448238,6.402601175698547e-21,9.73835638823749e-19,888.5294648945611,-0.2605632158991022,0.1416517158510311,-1.8394638874203622,0.06584698477958738,0.19242954456135122,True,True
CTSA,down,down_arm,module_a,-0.36756563877712645,1836.173698265262,-1.5243352432787673,0.13206509065236913,-11.542302630838517,8.073463167618465e-31,3.5650850742428766e-28,2504.3268156773274,-0.047487164035163364,0.18608360407599245,-0.2551926284476447,0.7985743242795401,0.8905900993212784,True,True
DPP7,down,down_arm,module_a,-0.5950665687596625,3517.7158583928504,-0.6322383330478418,0.13425585791298822,-4.70920481888841,2.486850771283741e-06,3.3738850553125e-05,3960.4770224096137,-0.01813341117680216,0.12174393283834264,-0.14894714466700001,0.8815953400364025,0.9369339252926316,True,True
ECM1,down,down_arm,module_a,-1.0649001052972822,487.1966615708989,-3.4967390604768886,0.4369742252390731,-8.002163190663675,1.2225221266261953e-15,9.562917366506278e-14,1137.2473229555517,0.7316905877325276,0.21729640764705915,3.3672465902932296,0.0007592276719835607,0.008622993967515152,True,False
FCGRT,down,down_arm,module_a,-0.5116639587585406,3499.9420110041706,0.01892152428782427,0.15352990913444745,0.12324324553110058,0.9019144815900697,0.950102882579829,3624.4945486699326,0.3348917359374555,0.11948495301221636,2.8027942221579614,0.005066198250888549,0.03329844039568646,False,False
GBA,down,down_arm,module_a,-0.548848992693411,1355.534984249561,-0.7676973315689473,0.15582323766726977,-4.926719166291588,8.362180675404945e-07,1.296374759520026e-05,1446.950245863956,-0.257939486021545,0.1466714206930385,-1.7586213101553985,0.07864185095648413,0.2164764929554832,True,True
GRN,down,down_arm,module_a,-0.6943727669844915,22433.654103004836,-0.8032594840977372,0.1412634015528205,-5.686253306008538,1.2985674257170548e-08,3.1077079529092246e-07,24587.65570079291,-0.26993748378585886,0.11250112962061817,-2.3994202075672955,0.016421058282026137,0.07498735141274868,True,True
HECTD3,down,down_arm,module_a,-0.40871864950288717,900.1703830632096,-0.09371805595804829,0.12608665131266897,-0.7432829326686359,0.45731040242982124,0.658118790963182,881.7301378324531,0.047880458569285085,0.12242911249913835,0.39108719806836845,0.6957327830513129,0.8300805849894172,True,False
ITGB2,down,down_arm,module_a,-0.37538787777900806,60279.542042420166,-0.784936024486293,0.23884488649027305,-3.2863840462343727,0.0010148254561336012,0.006285948266521659,69501.55518248021,-0.12109434877074267,0.11728981793484368,-1.032437008624333,0.3018674423592784,0.5130664270613151,True,True
LRPAP1,down,down_arm,module_a,-0.5015544908405221,3173.5948968639204,-0.8489587633275091,0.17649734463236708,-4.8100370297119035,1.5090233748573165e-06,2.174423260886506e-05,4028.3203293576385,0.14522848401598648,0.1427559941374813,1.0173196922023746,0.3090013716841765,0.5197491719865303,True,False
NRGN,down,down_arm,module_a,-1.064134616156436,92.83330530519025,-2.2476754884887353,0.5655221212449411,-3.9745138236868613,7.052316628392844e-05,0.0006389090822373901,108.62181826339106,-1.0047852394535215,0.30140769314634813,-3.333641649835558,0.0008571701348021787,0.009450282278611445,True,True
PARVG,down,down_arm,module_a,-0.7260065470933293,585.8466058808774,-0.7620784592775729,0.46157518909467565,-1.6510386114390125,0.09873069097963587,0.23777699310700834,531.3680191602749,-0.8323704807862659,0.2971330552797858,-2.8013392182249497,0.005089099333435424,0.033373646681357526,True,True
PBXIP1,down,down_arm,module_a,-0.4261399103139394,1146.3755485321715,-0.22034544418844657,0.1897386050266722,-1.1613105522593667,0.24551562975049812,0.44686390847687396,942.7214513193991,-0.7367059141208718,0.19394709378750646,-3.7984890607746165,0.00014558085317794195,0.0025738051390575374,True,True
PINK1,down,down_arm,module_a,-0.39897587724197986,1793.233781606293,-0.30888163959822124,0.13455850699780947,-2.2955192242378972,0.021703385984118105,0.0752390869773303,1969.530402929754,0.17898189072202256,0.12323333042023711,1.4523821608300098,0.14639537373499684,0.32636522828930703,True,False
PLA2G15,down,down_arm,module_a,-0.6044644548519622,1373.4741632343632,-1.8059764550932633,0.1665960681446719,-10.840450649321175,2.2137785012931096e-27,6.447747639191782e-25,1978.9622240949523,-0.054486991788415706,0.17596528571541087,-0.3096462553218461,0.7568299771995828,0.8664183622354583,True,True
PLD3,down,down_arm,module_a,-0.8122457230825886,5634.84872407178,-2.726864408672516,0.24607175047641028,-11.081582519704662,1.5412402347633656e-28,4.7950085394717526e-26,8321.784224740886,-0.23566980223839243,0.17571033691513785,-1.3412403981230367,0.17984241401673318,0.3726097279725129,True,True
PTK2B,down,down_arm,module_a,-0.48472151360636095,854.6441319836227,-0.5534009696454602,0.2447442314220745,-2.2611399926770517,0.023750589565800225,0.08073549058014384,1012.0960523375398,0.26656990713034967,0.14688628268221257,1.8148046384091003,0.06955393734552763,0.19910582974355934,True,False
RAB37,down,down_arm,module_a,-1.2434976992602285,5.36976730815065,-0.5571882993247406,0.7386308370604265,-0.7543528801778928,0.4506373574067901,0.6515393732088667,11.242367414596961,1.095566749767564,0.709998969148214,1.5430540006021638,0.12281767427525456,0.2915553098522363,True,False
RAB7B,down,down_arm,module_a,-0.9350964647286701,,,,,,,,,,,,,False,False
RASGRP2,down,down_arm,module_a,-1.3810924086007879,68.02892191110159,-1.8433067940388053,0.37892190528323727,-4.864608692023141,1.1468347126262653e-06,1.702713707282098e-05,94.93097701096774,0.04539646354783027,0.2748181189635982,0.16518730176536645,0.8687965596873456,0.9299242096445913,True,False
RGL2,down,down_arm,module_a,-0.6020847630205809,565.9192153603456,-0.08145456631576763,0.3005568236627813,-0.2710122010311036,0.7863816482511364,0.8866525028046921,476.0845386997669,-0.17805284890960565,0.22168618096903664,-0.8031752278436998,0.42187346145904014,0.6270297615740494,True,True
RHOBTB2,down,down_arm,module_a,-0.7225504712484364,158.36838370898434,-0.0834850119602732,0.23817480041605804,-0.35051991988420517,0.7259485433305534,0.8496890730629039,135.4992714456568,-0.5690826963808308,0.266508423863624,-2.135327237055884,0.03273428960520886,0.11933890827304854,True,True
S100A4,down,down_arm,module_a,-1.2515903968159128,9310.1283215986,-0.29830151627155305,0.22769296160119235,-1.3101042481674625,0.19016057151880505,0.3771527185628691,9310.761469454545,-0.09352673933137202,0.1880879020541566,-0.49725015968566993,0.6190126535695681,0.7802719174824297,True,True
S100A6,down,down_arm,module_a,-0.44124697729334894,6346.5287624683915,-0.007023731287549,0.13834212285270095,-0.05077073520859212,0.9595082107118622,0.9795047742150057,7461.903112128013,0.5907161486733367,0.11436716414508023,5.165085215578004,2.4032940680116955e-07,1.9469724095284623e-05,True,False
SLC44A2,down,down_arm,module_a,-1.0404367988111698,98.5851088274964,-2.1019502362358122,0.5155194242377539,-4.0773443975341035,4.555299504365565e-05,0.00043698314586727556,117.4116130774993,-0.7752320391315882,0.2652008446773811,-2.923188423757338,0.003464667840062822,0.025399626777092853,True,True
SLC9A3R1,down,down_arm,module_a,-0.4920343905723712,533.1421914628801,-0.1311721460370283,0.11894011715648004,-1.1028419104754668,0.2700958241930639,0.47562755916626714,606.6878497394188,0.4486542198324273,0.17727021983936228,2.530905756415185,0.011376841236318446,0.05836615944884814,True,False
TEX264,down,down_arm,module_a,-0.5702523452855037,1014.8419555189768,-0.25211337395044425,0.11479312903194218,-2.1962409778053136,0.028074699787495307,0.09211758518480903,977.0360363994324,-0.16636460035480427,0.11835091383921953,-1.4056891912200327,0.1598164379588537,0.34495586739877276,True,True
TMC8,down,down_arm,module_a,-0.7155626381977555,276.8999942574282,-2.211362481268796,0.419765371396596,-5.2680917292234,1.3784922454708958e-07,2.6355000486384208e-06,301.5053960366006,-0.9648574883231824,0.13917688420595492,-6.932598712982966,4.1317903569661766e-12,1.5554975461519724e-09,True,True
WDR1,down,down_arm,module_a,-0.30590796569608486,9480.829574557214,0.3542116174129023,0.14309228851543354,2.475406753835641,0.013308450902998353,0.051338329638057754,7601.171465645149,-0.08383851278434762,0.1336233657835306,-0.6274240458825572,0.5303813097268886,0.7156810252222523,False,True
CALCOCO1,down,down_arm,module_c,-0.49793542101949173,816.9476030237547,-0.6573486347452987,0.2691679428476742,-2.4421505317120964,0.014600057424689079,0.05514905797090751,1275.2431582469992,0.7402199564885805,0.1756910651020545,4.213190671128355,2.5178833557393657e-05,0.0007161979322991973,True,False
CLN3,down,down_arm,module_c,-0.5992303450205856,601.6311418549307,-0.13271558333318573,0.14247858886171014,-0.9314773847318181,0.35160667768989307,0.562546027454061,681.5872153553344,0.35614784260702353,0.18972669207273685,1.877162557973048,0.06049581749725067,0.1813882557893672,True,False
DGAT1,down,down_arm,module_c,-0.49407067500670065,795.2605889205483,-0.49003470759701107,0.14128349753104594,-3.468449721025131,0.0005234704704382934,0.00363930282876069,921.8093621924278,0.17346942164791715,0.12165703010802369,1.4258890052953566,0.15390038356757596,0.3372004295900329,True,False
GAS7,down,down_arm,module_c,-0.40422092366266593,1069.9242997769122,-0.6476732745680135,0.17870018313844596,-3.6243570834297123,0.00028968114987440766,0.0021872284945564074,1256.00914608187,0.10991108178084508,0.12112603716430426,0.9074108618921761,0.36418956761473087,0.5719085345931242,True,False
GLB1,down,down_arm,module_c,-0.25836385013351326,2929.2687931510195,-0.6044078629226308,0.11616485910361389,-5.203018086420833,1.9607777835691817e-07,3.5835897302107512e-06,3338.4550987806033,0.012078171153812534,0.10327552813412075,0.11695095025926165,0.9068989226722977,0.9501764926091029,True,False
GLMP,down,down_arm,module_c,-0.6250462216538599,,,,,,,,,,,,,False,False
IRAK1,down,down_arm,module_c,-0.384471880434511,2383.458749119091,-0.20947656771556775,0.14424143520510443,-1.4522634735137103,0.14642835963858367,0.31491942656685584,2613.1811802382913,0.21280183969372027,0.17695582982414446,1.2025703810108936,0.22914261521357038,0.4329188892595868,True,False
ITGA7,down,down_arm,module_c,-1.1340497615002891,8.618904065223301,0.7904678688832012,0.7362935208965701,1.0735771081085492,0.283012262155352,0.49070992484415626,8.489542197066807,1.2377764361382275,0.7201823352665612,1.7186986899367491,0.08566925071723536,0.22959933190548842,False,False
LILRA2,down,down_arm,module_c,-0.7203945534932075,2142.953103393971,-0.612921067893337,0.1448309757520849,-4.231974995062572,2.31648167353675e-05,0.0002402296790079134,1859.3700442754198,-1.0973346603334273,0.22338297026131543,-4.912346984417636,8.999260946699354e-07,5.5115090965431446e-05,True,True
LPAR2,down,down_arm,module_c,-0.7024138192603944,68.01551266301185,-0.5515488706460766,0.328625491770979,-1.678350841481446,0.09327862825474663,0.2283212182708844,77.27288113871207,-0.034065100600470515,0.32662541922824034,-0.10429408917701655,0.916935968487622,0.9561531891357687,True,True
METTL7B,down,down_arm,module_c,-1.6027219805320172,3.8732417244180812,0.716025032008173,0.8749742657306399,0.8183383901128365,0.4131639908071454,0.6187967035184916,9.881668834293789,2.4779782122284115,0.7089442344876965,3.495307658463532,0.00047351559959771304,0.006222792273974052,False,False
MICAL1,down,down_arm,module_c,-0.5721863220016166,909.9957799123634,0.8312559480375628,0.27431790942289147,3.030264957130778,0.002443392846717991,0.01305527114704238,699.3052962520674,0.37287965901505127,0.18356753761985117,2.0312941157779507,0.042225167931838815,0.1419755140927094,False,False
P2RX1,down,down_arm,module_c,-0.6846723387074246,239.3443681459313,-2.514581790696129,0.34797842299633897,-7.226257792203929,4.964848866171502e-13,2.471411495600789e-11,321.31482922585786,-0.3693899019654004,0.24418870444072374,-1.5127231327568182,0.13035000104277986,0.30352556182419177,True,True
PLCXD1,down,down_arm,module_c,-0.6548382794802804,85.70995566290789,-0.7252639420809192,0.20361540168287404,-3.5619306598942835,0.0003681376247876517,0.0026862664955853753,119.47329030533395,0.24410395249290626,0.2842749006614314,0.8586897820558264,0.3905116893014472,0.5970647483767526,True,False
S100A11,down,down_arm,module_c,-0.3055616620415249,6312.426844503801,-0.31894602072884715,0.245949461910987,-1.2967949523072295,0.19470174794873418,0.3838790476264183,6801.2261808897665,0.12560083361799176,0.15540488540457528,0.8082167641706195,0.4189658087711985,0.6241576294542994,True,False
SHB,down,down_arm,module_c,-0.44820299406564357,655.5217975148726,0.08557931877726124,0.29986460007057214,0.28539320332283447,0.7753429140826861,0.880145049413541,685.9441541454203,0.43917216100254575,0.20618491892317156,2.1299916759003583,0.0331723006031513,0.12038714140071921,False,False
SLC37A2,down,down_arm,module_c,-0.5645680531044754,2686.394427187984,-1.3145997915043308,0.19701101150136172,-6.672722410215353,2.511010839670807e-11,9.70995123848974e-10,2999.8433845521618,-0.5685319792415472,0.18703154064421534,-3.0397652571501244,0.002367626074543344,0.01967896997023039,True,True
STX4,down,down_arm,module_c,-0.4183937657979191,375.6099902210662,-0.22675002453208726,0.1801832039700873,-1.2584415169447793,0.20823212518274048,0.401533957124459,447.8614572784306,0.44411755342394516,0.17619414706641423,2.5206146788550274,0.011715005778903984,0.05962309104173797,True,False
TCIRG1,down,down_arm,module_c,-0.82158962075802,4949.024066504822,-0.3680775948477099,0.2464502929953127,-1.4935165642294874,0.13530202164516214,0.29889742958454685,5792.953392121188,0.13520157469714092,0.23062932021111335,0.5862289086807357,0.5577216973601606,0.7363422100268238,True,False
USF2,down,down_arm,module_c,-0.47950305105015684,115.27754968102039,0.3859384222457945,0.20517238778514024,1.881044649389933,0.05996584539262575,0.1653651203826861,97.92597319270186,0.08699186125665823,0.30006245500950524,0.28991251589240824,0.7718831663428711,0.8757405184531776,False,False
VKORC1,down,down_arm,module_c,-0.4641936332719926,686.7130896584472,-0.3102729030380335,0.12014655165517084,-2.5824536681546952,0.009810053335956845,0.04018247160859164,775.83135235597,0.25122364715621676,0.16666302947416559,1.507374778610747,0.13171461984831362,0.30531458421919855,True,False
YPEL3,down,down_arm,module_c,-0.6873667010667799,442.9201218282428,0.03248275376760645,0.2731588148737024,0.11891526833071508,0.9053424852167419,0.9520853914070847,435.59998642168483,0.050276155954686215,0.14786921604243597,0.34000420980292345,0.7338533576357235,0.8522339845524641,False,False
ABCA5,up,up_arm,module_b,0.7204637547819264,104.97762659838463,0.8064842025002155,0.19608175551133739,4.11299970462364,3.905508857043145e-05,0.0003816025035265069,77.9368256536851,0.30677279093021215,0.24451412390500377,1.2546219663343312,0.20961602541048396,0.4101322417080701,True,True
ATL3,up,up_arm,module_b,0.2962877169777453,1924.8159932992723,0.3405844753868335,0.1859186753715482,1.8319002903080839,0.06696627730929686,0.1791832232382652,1488.124996310297,-0.2533744644656561,0.15424933953109715,-1.6426291693428934,0.10045968179481399,0.25508508767578236,True,False
EIF3J,up,up_arm,module_b,0.349097824686034,366.1789704343848,0.15354481924920033,0.11710143749669544,1.3112120784472292,0.1897861227659785,0.37657374033098706,313.0387293553398,-0.10611328705752714,0.13599499098262127,-0.7802734960369776,0.4352299098245841,0.6395333417246173,True,False
G3BP1,up,up_arm,module_b,0.36676533434172875,3999.9516644331393,0.20449097201131872,0.14910786756343694,1.3714297934300441,0.1702410151969258,0.3494460240151306,3402.2705529306913,-0.013799474688565686,0.14360383320622955,-0.0960940552941108,0.9234458726470762,0.9596579662160084,True,False
GNPNAT1,up,up_arm,module_b,0.42934788287087455,203.11325578448995,0.492685094268782,0.159871767505875,3.081751718612085,0.0020578640244585263,0.01134062022174427,153.86972523079103,-0.0840439689510886,0.19636648591839062,-0.4279954828239735,0.668654409129066,0.8134172625786016,True,False
HMGB1,up,up_arm,module_b,0.2877621399813844,3813.886434129638,0.33674821772226743,0.08569261159899243,3.9297228948758858,8.50438114084371e-05,0.00075497064485739,3253.421752737829,0.09808383767598793,0.1411307249391144,0.6949857142610338,0.4870642543287381,0.683823895514736,True,True
IMPACT,up,up_arm,module_b,0.3450676247432779,731.2747888764507,-0.02893251814418417,0.14339614674542137,-0.20176635705246368,0.8400993837825788,0.9184993914093041,587.1126670822503,-0.5163478391520645,0.1443485914335121,-3.577089558160999,0.00034744116135062024,0.004985702763775717,False,False
LARS,up,up_arm,module_b,0.2981728331698537,1169.870316513993,0.01440817666123011,0.1780388355629458,0.08092715623348416,0.9354998832403566,0.9687614722503398,1037.7541371918626,-0.15505560393672574,0.17625201277692243,-0.8797380608241652,0.37900122567853844,0.5862496300526032,True,False
MATR3,up,up_arm,module_b,0.2951656875395609,4621.495353482607,0.4110843926974006,0.117633084556572,3.494632434803682,0.0004747150279028463,0.003342555514949477,3641.3462020427028,-0.033893450928621525,0.11077085926873932,-0.3059780446984996,0.7596213623842001,0.867931662417092,True,False
NCL,up,up_arm,module_b,0.22972507815730803,5274.0857889310855,0.2600237781727239,0.10774354253776151,2.4133583512124805,0.01580627043028368,0.058732908773114365,4085.083301130122,-0.27335910754644843,0.09853853281333148,-2.77413413557001,0.005534885173587354,0.03542058384885011,True,False
NMD3,up,up_arm,module_b,0.3221055738469049,1514.4783916668957,-0.2770296145401906,0.13119032971612563,-2.1116618514461947,0.03471546331300304,0.10849771171043347,1562.1502670297093,0.026202591875807445,0.1204729297010211,0.21749775605884814,0.8278204555517485,0.9072590471452237,False,True
NOP58,up,up_arm,module_b,0.3453796995972642,1112.103927230344,0.3170897598200249,0.12374704545555228,2.5624026711322,0.010395071887643067,0.04205027750293911,858.5746455169227,-0.21159584135675558,0.1129468373730591,-1.873410945167615,0.06101165976231957,0.18220934320058108,True,False
SEH1L,up,up_arm,module_b,0.26334405024039154,938.546414378554,0.5126734421636103,0.13440158392985724,3.8144895854141803,0.00013646469152143038,0.0011425474998390584,633.4413070191723,-0.4729656913368502,0.1732087270853989,-2.7306112070418886,0.006321700085290096,0.03894021226742696,True,False
SLC30A1,up,up_arm,module_b,0.7352077837330054,1170.2060748556546,0.1769723441089956,0.11176265642278085,1.5834657995201598,0.1133153358728566,0.26344660882532844,1146.6736907453003,0.24680076335470624,0.24525732285558957,1.006293147463024,0.31427457583466367,0.5255808775292014,True,True
SLC7A11,up,up_arm,module_b,1.516611887741437,3452.826136354879,1.6697004108570777,0.33181825438485496,5.031972740476472,4.854583049688332e-07,8.041240013754805e-06,2280.0770860927387,1.1054824115136088,0.20487473344841242,5.395894324821513,6.818306986230549e-08,7.589072123804437e-06,True,True
SYNCRIP,up,up_arm,module_b,0.25741675648443985,1413.6891763057959,0.5362907371906199,0.14240218177436506,3.7660289365535684,0.00016586457720648028,0.0013523050609764791,963.0757111044014,-0.4188507743597544,0.1250795511469485,-3.348675067339118,0.0008119896338976524,0.009093147256246676,True,False
THAP12,up,up_arm,module_b,0.34642777353802806,,,,,,,,,,,,,False,False
YWHAG,up,up_arm,module_b,0.2152735109739401,322.40689971377805,0.009351494937362438,0.19525087417181405,0.04789476603896505,0.9618001107014513,0.9802026291983448,303.2460962337001,0.044367742329310254,0.14357256930812456,0.3090265957008234,0.7573012958708873,0.8666371464660926,True,True
ZFR,up,up_arm,module_b,0.23065749206829184,1485.7967914945202,0.06918617203906649,0.12218787415868602,0.5662278070998604,0.5712389292035642,0.7487972519264187,1509.3268308422657,0.2935014607038632,0.16038411596054755,1.8299908251267276,0.06725131079273929,0.19501965975239305,True,True
ZNF146,up,up_arm,module_b,0.35396373731554065,1058.2869329436498,0.09141721402171649,0.15126036341671475,0.604369921880107,0.5455977284476223,0.7295064763351731,966.3183790691302,0.05796298022767825,0.10457744035817707,0.5542589303118858,0.5794016530289654,0.7517831889275982,True,True
